ID	Sex
NA18536	0
NA18537	1
NA18538	1
NA18539	1
NA18541	1
NA18542	1
NA18543	0
NA18544	0
NA18545	1
NA18546	0
NA18547	1
NA18548	0
NA18549	0
NA18550	1
NA18552	1
NA18553	1
NA18555	1
NA18557	0
NA18558	0
NA18559	0
NA18560	1
NA18561	0
NA18562	0
NA18563	0
NA18564	1
NA18565	1
NA18566	1
NA18567	1
NA18570	1
NA18571	1
NA18572	0
NA18573	1
NA18574	1
NA18577	1
NA18579	1
NA18582	1
NA18591	1
NA18592	1
NA18593	1
NA18595	1
NA18596	1
NA18597	1
NA18599	1
NA18602	1
NA18603	0
NA18605	0
NA18606	0
NA18608	0
NA18609	0
NA18610	1
NA18611	0
NA18612	0
NA18613	0
NA18614	1
NA18615	1
NA18616	1
NA18617	1
NA18618	1
NA18619	1
NA18620	0
NA18621	0
NA18622	0
NA18623	0
NA18624	0
NA18625	1
NA18626	1
NA18627	1
NA18628	1
NA18629	0
NA18630	1
NA18631	1
NA18632	0
NA18633	0
NA18634	1
NA18635	0
NA18636	0
NA18637	0
NA18638	0
NA18639	0
NA18640	1
NA18641	1
NA18642	1
NA18643	0
NA18644	1
NA18645	0
NA18646	1
NA18647	0
NA18648	0
NA18740	0
NA18745	0
NA18747	0
NA18748	0
NA18749	0
NA18757	0
NA18853	0
NA18856	0
NA18858	1
NA18861	1
NA18864	1
NA18865	0
NA18867	1
NA18868	0
NA18870	1
NA18871	0
NA18873	1
NA18874	0
NA18876	1
NA18877	0
NA18878	1
NA18879	0
NA18881	1
NA18907	1
NA18908	0
NA18909	1
NA18910	0
NA18912	1
NA18915	0
NA18916	1
NA18917	0
NA18923	0
NA18924	1
NA18933	1
NA18934	0
NA18939	1
NA18940	0
NA18941	1
NA18942	1
NA18943	0
NA18944	0
NA18945	0
NA18946	1
NA18947	1
NA18948	0
NA18949	1
NA18950	1
NA18951	1
NA18952	0
NA18953	0
NA18954	1
NA18956	1
NA18957	1
NA18959	0
NA18960	0
NA18961	0
NA18962	0
NA18963	1
NA18964	1
NA18965	0
NA18966	0
NA18967	0
NA18968	1
NA18969	1
NA18970	0
NA18971	0
NA18972	1
NA18973	1
NA18974	0
NA18975	1
NA18976	1
NA18977	0
NA18978	1
NA18979	1
NA18980	1
NA18981	1
NA18982	0
NA18983	0
NA18984	0
NA18985	0
NA18986	0
NA18987	1
NA18988	0
NA18989	0
NA18990	0
NA18991	1
NA18992	1
NA18993	1
NA18994	0
NA18995	0
NA18997	1
NA18998	1
NA18999	1
NA19000	0
NA19001	1
NA19002	1
NA19003	1
NA19004	0
NA19005	0
NA19006	0
NA19007	0
NA19009	0
NA19010	1
NA19011	1
NA19012	0
NA19017	1
NA19019	1
NA19020	0
NA19023	1
NA19024	1
NA19025	0
NA19026	0
NA19027	0
NA19028	0
NA19030	1
NA19031	0
NA19035	0
NA19036	1
NA19037	1
NA19038	1
NA19041	0
